District,Total Votes,Margin of Victory
Alabama's 1st Congressional District,"242,617",26.38%
Alabama's 2nd Congressional District,"226,230",22.96%
Alabama's 3rd Congressional District,"231,915",27.50%
Alabama's 4th Congressional District,"230,969",59.65%
Alabama's 5th Congressional District,"260,673",22.13%
Alabama's 6th Congressional District,"278,328",38.41%
Alabama's 7th Congressional District,"189,163",95.61%
Alaska at-large,"280,978",6.61%
Arizona's 1st Congressional District,"266,089",7.69%
Arizona's 2nd Congressional District,"294,152",9.49%
Arizona's 3rd Congressional District,"179,518",27.73%
Arizona's 4th Congressional District,"277,035",37.66%
Arizona's 5th Congressional District,"313,064",18.85%
Arizona's 6th Congressional District,"313,699",10.39%
Arizona's 7th Congressional District,"132,051",71.44%
Arizona's 8th Congressional District,"304,417",10.93%
Arizona's 9th Congressional District,"261,245",22.17%
Arkansas' 1st Congressional District,"201,245",40.17%
Arkansas' 2nd Congressional District,"253,453",6.31%
Arkansas' 3rd Congressional District,"229,708",32.11%
Arkansas' 4th Congressional District,"204,892",35.51%
California's 1st Congressional District,"291,594",9.77%
California's 2nd Congressional District,"315,657",54.02%
California's 3rd Congressional District,"232,251",16.15%
California's 4th Congressional District,"340,654",8.26%
California's 5th Congressional District,"261,018",57.74%
California's 6th Congressional District,"201,939",60.85%
California's 7th Congressional District,"281,617",10.09%
California's 8th Congressional District,"170,785",19.93%
California's 9th Congressional District,"200,763",12.98%
California's 10th Congressional District,"221,900",4.50%
California's 11th Congressional District,"275,681",48.26%
California's 12th Congressional District,"317,072",73.65%
California's 13th Congressional District,"294,837",76.76%
California's 14th Congressional District,"266,823",58.45%
California's 15th Congressional District,"243,929",45.94%
California's 16th Congressional District,"142,959",15.09%
California's 17th Congressional District,"211,162",50.69%
California's 18th Congressional District,"302,238",48.98%
California's 19th Congressional District,"220,319",47.51%
California's 20th Congressional District,"225,721",62.75%
California's 21st Congressional District,"113,616",0.76%
California's 22nd Congressional District,"222,379",5.44%
California's 23rd Congressional District,"205,774",27.43%
California's 24th Congressional District,"284,431",17.11%
California's 25th Congressional District,"245,022",8.73%
California's 26th Congressional District,"255,426",23.88%
California's 27th Congressional District,"202,636",58.42%
California's 28th Congressional District,"250,934",56.74%
California's 29th Congressional District,"154,692",61.22%
California's 30th Congressional District,"260,993",46.80%
California's 31st Congressional District,"187,495",17.49%
California's 32nd Congressional District,"177,031",37.56%
California's 33rd Congressional District,"312,860",40.06%
California's 34th Congressional District,"151,906",45.08%
California's 35th Congressional District,"149,024",38.80%
California's 36th Congressional District,"207,008",18.03%
California's 37th Congressional District,"236,378",78.15%
California's 38th Congressional District,"202,156",37.70%
California's 39th Congressional District,"244,393",3.11%
California's 40th Congressional District,"121,449",54.70%
California's 41st Congressional District,"166,248",30.20%
California's 42nd Congressional District,"231,932",13.00%
California's 43rd Congressional District,"196,052",55.34%
California's 44th Congressional District,"143,322",36.68%
California's 45th Congressional District,"305,289",4.10%
California's 46th Congressional District,"147,916",38.29%
California's 47th Congressional District,"221,036",29.71%
California's 48th Congressional District,"294,736",7.10%
California's 49th Congressional District,"295,030",12.84%
California's 50th Congressional District,"259,810",3.43%
California's 51st Congressional District,"153,828",42.40%
California's 52nd Congressional District,"296,007",27.69%
California's 53rd Congressional District,"268,794",38.15%
Colorado's 1st Congressional District,"369,715",50.76%
Colorado's 2nd Congressional District,"430,765",26.63%
Colorado's 3rd Congressional District,"336,201",7.97%
Colorado's 4th Congressional District,"369,621",21.24%
Colorado's 5th Congressional District,"322,716",17.71%
Colorado's 6th Congressional District,"346,822",11.23%
Colorado's 7th Congressional District,"338,067",25.00%
Connecticut's 1st Congressional District,"274,140",28.84%
Connecticut's 2nd Congressional District,"289,114",26.72%
Connecticut's 3rd Congressional District,"154,277",87.26%
Connecticut's 4th Congressional District,"275,651",22.42%
Connecticut's 5th Congressional District,"270,664",11.75%
Delaware at-large,"352,737",28.91%
Florida's 1st Congressional District,"322,388",34.12%
Florida's 2nd Congressional District,"295,568",34.88%
Florida's 3rd Congressional District,"306,496",15.25%
Florida's 4th Congressional District,"381,249",32.81%
Florida's 5th Congressional District,"270,326",33.56%
Florida's 6th Congressional District,"333,649",12.63%
Florida's 7th Congressional District,"317,398",15.38%
Florida's 8th Congressional District,"360,527",21.00%
Florida's 9th Congressional District,"296,737",16.04%
Florida's 10th Congressional District,--,100.00%
Florida's 11th Congressional District,"367,506",30.30%
Florida's 12th Congressional District,"334,918",18.43%
Florida's 13th Congressional District,"316,971",15.29%
Florida's 14th Congressional District,--,100.00%
Florida's 15th Congressional District,"285,532",6.04%
Florida's 16th Congressional District,"361,946",9.12%
Florida's 17th Congressional District,"310,520",24.52%
Florida's 18th Congressional District,"342,359",8.60%
Florida's 19th Congressional District,"339,607",24.55%
Florida's 20th Congressional District,"202,824",99.84%
Florida's 21st Congressional District,--,100.00%
Florida's 22nd Congressional District,"297,683",24.05%
Florida's 23rd Congressional District,"276,366",22.49%
Florida's 24th Congressional District,--,100.00%
Florida's 25th Congressional District,"212,845",20.91%
Florida's 26th Congressional District,"235,475",1.75%
Florida's 27th Congressional District,"252,586",6.00%
Georgia's 1st Congressional District,"250,683",15.48%
